Time/t	Open	R	R_t+1	R_t+2	R_t+3	Volume	Scores_t	segment_t
0	161.17	0	0.000558417	0.000558105	0.000062	51.82	0.303481481	1
1	161.26	0.000558417	0.000558105	0.000062	0.001239465	61.88	0.272370266	1
2	161.35	0.000558105	0.000062	0.001239465	0.001856895	58.7	0.201108374	1
3	161.36	0.000062	0.001239465	0.001856895	-0.000185345	173.53	0.253387097	1
4	161.56	0.001239465	0.001856895	-0.000185345	0.000617932	351.04	0.227734878	1
5	161.86	0.001856895	-0.000185345	0.000617932	0.001111591	373.48	0.247852349	1
6	161.83	-0.000185345	0.000617932	0.001111591	-0.000925298	422.26	0.314583333	1
7	161.93	0.000617932	0.001111591	-0.000925298	-0.000308718	245.96	0.362213225	1
8	162.11	0.001111591	-0.000925298	-0.000308718	0.000370576	222.37	0.293333333	1
9	161.96	-0.000925298	-0.000308718	0.000370576	0.0000617	151.25	0.265384615	2
10	161.91	-0.000308718	0.000370576	0.0000617	-0.001296456	155.9	0.330136054	2
11	161.97	0.000370576	0.0000617	-0.001296456	-0.000556345	139.2	0.317967699	2
12	161.98	0.0000617	-0.001296456	-0.000556345	-0.000123701	185.46	0.248689384	2
13	161.77	-0.001296456	-0.000556345	-0.000123701	0.000123716	170.58	0.304521277	2
14	161.68	-0.000556345	-0.000123701	0.000123716	-0.000309253	76.36	0.341619318	2
15	161.66	-0.000123701	0.000123716	-0.000309253	-0.000185609	69.84	0.371681416	2
16	161.68	0.000123716	-0.000309253	-0.000185609	0.000928218	75.2	0.305148096	2
17	161.63	-0.000309253	-0.000185609	0.000928218	0.001051005	132.39	0.314784547	3
18	161.6	-0.000185609	0.000928218	0.001051005	-0.00055583	181.24	0.352234994	3
19	161.75	0.000928218	0.001051005	-0.00055583	0.000308966	151.72	0.254606526	3
20	161.92	0.001051005	-0.00055583	0.000308966	0.00074129	126.43	0.200619048	3
21	161.83	-0.00055583	0.000308966	0.00074129	-0.00037037	60.42	0.26786134	3
22	161.88	0.000308966	0.00074129	-0.00037037	0.0000618	168.85	0.185996956	3
23	162	0.00074129	-0.00037037	0.0000618	0.000123495	138.84	0.203931848	3
24	161.94	-0.00037037	0.0000618	0.000123495	0.000246959	55.18	0.290909091	3
25	161.95	0.0000618	0.000123495	0.000246959	-0.00080242	180.14	0.26921944	3
26	161.97	0.000123495	0.000246959	-0.00080242	0.000679516	120.34	0.301657061	3
27	162.01	0.000246959	-0.00080242	0.000679516	0.00111118	142.99	0.30311284	3
28	161.88	-0.00080242	0.000679516	0.00111118	0.000678301	100.29	0.338561721	3
29	161.99	0.000679516	0.00111118	0.000678301	0.001787035	295.67	0.320446585	3
30	162.17	0.00111118	0.000678301	0.001787035	0.0000615	310.68	0.351819836	3
31	162.28	0.000678301	0.001787035	0.0000615	0.00135318	645.53	0.397645951	3
32	162.57	0.001787035	0.0000615	0.00135318	0.000429975	332.75	0.421949829	3
33	162.58	0.0000615	0.00135318	0.000429975	0.000122797	403.33	0.329431818	3
34	162.8	0.00135318	0.000429975	0.000122797	0.002148689	356.67	0.307237716	3
35	162.87	0.000429975	0.000122797	0.002148689	-0.000306297	326.16	0.282860666	3
36	162.89	0.000122797	0.002148689	-0.000306297	0.000183835	591.98	0.330677765	3
37	163.24	0.002148689	-0.000306297	0.000183835	0.000306335	530.79	0.343325387	3
38	163.19	-0.000306297	0.000183835	0.000306335	0.000612482	293.21	0.284807256	3
39	163.22	0.000183835	0.000306335	0.000612482	-0.000428475	373.6	0.319449715	4
40	163.27	0.000306335	0.000612482	-0.000428475	0.001530925	456.71	0.316838843	4
41	163.37	0.000612482	-0.000428475	0.001530925	-0.001589728	278.87	0.274862132	4
42	163.3	-0.000428475	0.001530925	-0.001589728	0.000244963	438.05	0.284677419	4
43	163.55	0.001530925	-0.001589728	0.000244963	-0.000612257	380.2	0.286036866	4
